name,goals_per90,assists_per90,goals_assists_pens_per90
Quini,"['0.04', '0.00', None]","['0.00', '0.00', None]","['0.04', '0.00', None]"
Iván Alejo,"0.00,0.08,0.76","0.00,0.15,0.00","0.00,0.23,0.76"
Aarón Escandell,,,
Álvaro Giménez,"0.21,0.16,0.00","0.00,0.00,2.00","0.21,0.16,2.00"
Gorka Zabarte,,,
Aïssa Mandi,"0.04,0.00,0.26","0.02,0.00,0.00","0.06,0.00,0.26"
Nabil Fekir,"0.38,0.23,0.24","0.32,0.13,0.47","0.58,0.33,0.47"
Guido Rodríguez,"0.13,0.09,0.00","0.07,0.00,0.00","0.20,0.09,0.00"
Álex Moreno,"0.03,0.00,0.00","0.03,0.15,0.00","0.06,0.15,0.00"
Sergio Canales,"0.21,0.17,0.20","0.07,0.17,0.40","0.24,0.26,0.60"
Rubén,,,
Mikel Oyarzabal,"0.36,0.31,0.32","0.05,0.31,0.32","0.33,0.47,0.32"
Martin Braithwaite,"['0.26', '0.22', None]","['0.04', '0.00', None]","['0.30', '0.22', None]"
Portu,"0.31,0.25,0.50","0.06,0.25,0.00","0.34,0.50,0.50"
Édgar Badía,,,
Samuel Chukwueze,"0.30,0.17,0.00","0.11,0.13,0.33","0.41,0.29,0.33"
Manu Trigueros,"0.00,0.11,0.00","0.00,0.27,0.00","0.00,0.33,0.00"
Fernando Pacheco,,,
Pervis Estupiñán,"0.16,0.03,0.00","0.11,0.17,0.00","0.27,0.20,0.00"
Mario Gaspar,"0.03,0.00,0.00","0.05,0.09,0.24","0.08,0.09,0.24"
Francis Coquelin,"0.00,0.00,0.00","0.03,0.03,0.00","0.03,0.03,0.00"
Vicente Iborra,"0.18,0.03,0.00","0.05,0.07,0.00","0.23,0.10,0.00"
Pau Torres,"0.03,0.06,0.00","0.03,0.06,0.00","0.05,0.12,0.00"
Paco Alcácer,"0.77,0.38,0.75","0.22,0.09,0.00","0.98,0.47,0.75"
Gerard Moreno,"0.38,0.57,0.62","0.09,0.16,0.21","0.47,0.70,0.41"
Moi Gómez,"0.06,0.18,0.00","0.21,0.14,0.00","0.27,0.32,0.00"
Yunus Musah,,,
Raúl Albiol,"0.04,0.03,0.00","0.00,0.00,0.00","0.04,0.03,0.00"
José Campaña,"0.11,0.06,0.00","0.24,0.19,0.25","0.35,0.25,0.25"
Iñigo Martínez,"0.00,0.03,0.00","0.03,0.05,0.00","0.03,0.08,0.00"
Fede San Emeterio,"0.06,0.00,0.00","0.03,0.00,0.00","0.09,0.00,0.00"
Hugo Guillamón,,,
Yann Bodiger,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Fali,"0.00,0.04,0.00","0.00,0.00,0.00","0.00,0.04,0.00"
David Gil,,,
João Paulo Santos Costa,,,
Filip Malbašić,"0.25,0.00,0.00","0.12,0.38,0.63","0.31,0.38,0.63"
Augusto Fernández,"0.11,0.00,0.00","0.00,0.00,0.00","0.11,0.00,0.00"
Anthony Lozano,"0.00,0.40,0.00","0.00,0.04,0.00","0.00,0.44,0.00"
Jeremías Ledesma,,,
Gonçalo Guedes,"0.29,0.12,0.00","0.15,0.12,0.00","0.44,0.24,0.00"
Antonio Cortés,"['0.48', None, '4.50']","['0.00', None, '0.00']","['0.48', None, '4.50']"
Rubén Yáñez,,,
Luis Javier Suárez,"0.27,0.53,0.00","0.04,0.11,0.00","0.31,0.56,0.00"
Alberto Soro,"0.13,0.15,0.00","0.13,0.23,0.00","0.25,0.38,0.00"
Yan Brice Eteki,"0.00,0.00,0.00","0.03,0.00,0.00","0.03,0.00,0.00"
Fede Vico,"0.16,0.20,0.00","0.22,0.10,0.00","0.35,0.20,0.00"
Ángel Montoro,"0.15,0.18,0.00","0.15,0.46,1.02","0.31,0.65,1.02"
Ante Palaversa,,,
Chema,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]"
Francisco Portillo,"0.08,0.00,0.00","0.19,0.23,0.00","0.27,0.23,0.00"
Kevin Vázquez,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]"
Aimar Oroz,,,
Javi Martínez,,,
Erick Cabaco,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Carles Aleñá,"['0.11', '0.00', None]","['0.11', '0.00', None]","['0.21', '0.00', None]"
Juan Pérez,,,
Enes Ünal,"0.25,0.23,0.00","0.12,0.08,0.00","0.25,0.23,0.00"
Robin Le Normand,"0.00,0.03,0.00","0.34,0.00,0.00","0.34,0.03,0.00"
Jorge Sáenz,"['0.12', '0.00', None]","['0.06', '0.00', None]","['0.18', '0.00', None]"
Marc Bartra,"0.02,0.10,0.00","0.00,0.03,0.00","0.02,0.14,0.00"
Álvaro Vadillo,"['0.19', None, '0.00']","['0.06', None, '0.00']","['0.19', None, '0.00']"
Andoni Gorosabel,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Alexander Isak,"0.86,0.68,0.00","0.40,0.10,0.00","0.99,0.78,0.00"
Álex Remiro,,,
Mikel Merino,"0.16,0.15,0.20","0.12,0.03,0.40","0.29,0.18,0.60"
Ivan Šaponjić,"[None, '0.00', None]","[None, '0.00', None]","[None, '0.00', None]"
Daniel Parejo,"0.19,0.22,0.00","0.13,0.13,0.00","0.23,0.20,0.00"
Mouctar Diakhaby,"0.09,0.00,0.00","0.00,0.00,0.00","0.09,0.00,0.00"
Geoffrey Kondogbia,"0.05,0.08,0.00","0.05,0.04,0.00","0.09,0.11,0.00"
Alberto Cifuentes,,,
Jens Jønsson,"0.19,0.03,0.00","0.00,0.03,0.00","0.19,0.07,0.00"
Víctor Díaz,"0.05,0.03,0.00","0.00,0.14,0.00","0.05,0.17,0.00"
José Mari,"0.03,0.05,0.00","0.00,0.05,0.00","0.00,0.09,0.00"
Maxi Gómez,"0.39,0.32,0.60","0.15,0.10,0.00","0.51,0.42,0.60"
Álvaro Negredo,"['0.51', None, '0.39']","['0.26', None, '0.39']","['0.77', None, '0.78']"
José Luis Gayà,"0.02,0.00,0.00","0.06,0.03,0.20","0.08,0.03,0.20"
Daniel Wass,"0.05,0.05,0.20","0.14,0.15,0.20","0.19,0.20,0.40"
Ramon Azeez,"0.00,0.12,0.00","0.00,0.06,0.00","0.00,0.18,0.00"
Jorge Molina,"0.52,0.26,0.57","0.16,0.13,0.00","0.61,0.30,0.57"
Germán Sánchez,"0.03,0.10,0.46","0.03,0.00,0.00","0.05,0.10,0.46"
Carlos Neva,"0.00,0.00,0.00","0.00,0.04,0.00","0.00,0.04,0.00"
Kenedy,"[None, '0.28', '0.00']","[None, '0.47', '0.57']","[None, '0.75', '0.57']"
Roberto Soldado,"0.37,0.34,0.47","0.25,0.17,0.00","0.62,0.45,0.47"
Darwin Machís,"0.15,0.26,0.44","0.15,0.26,0.44","0.31,0.49,0.88"
Maxime Gonalons,"0.00,0.05,0.00","0.00,0.05,0.00","0.00,0.09,0.00"
Jesús Vallejo,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Domingos Duarte,"0.10,0.08,0.00","0.00,0.03,0.00","0.10,0.11,0.00"
Jaime Mata,"0.53,0.39,0.47","0.20,0.11,0.00","0.56,0.39,0.47"
David Timor,"0.00,0.21,0.00","0.00,0.07,0.00","0.00,0.28,0.00"
Nemanja Maksimović,"0.03,0.05,0.00","0.03,0.00,0.00","0.05,0.05,0.00"
Mathías Olivera,"0.00,0.00,0.00","0.09,0.12,0.00","0.09,0.12,0.00"
Cucho,"0.17,0.30,0.00","0.13,0.06,0.69","0.21,0.36,0.69"
Damián Suárez,"0.00,0.03,0.00","0.07,0.12,0.00","0.07,0.15,0.00"
Ángel Rodríguez,"0.56,0.63,0.93","0.17,0.15,0.00","0.64,0.73,0.93"
Allan Nyom,"0.05,0.06,0.00","0.05,0.03,0.25","0.10,0.09,0.25"
Javier Delgado,,,
Asier Córdoba,,,
Mauro Arambarri,"0.03,0.03,0.00","0.06,0.03,0.00","0.09,0.05,0.00"
David Soria,,,
Djené,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Xabier Etxeita,"0.13,0.00,0.00","0.00,0.00,0.00","0.13,0.00,0.00"
Marc Cardona,"0.34,0.20,0.00","0.23,0.31,0.00","0.57,0.51,0.00"
Jony,"0.12,0.00,0.00","0.33,0.16,0.00","0.45,0.16,0.00"
Raúl Navas,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Kike Barja,"0.16,0.00,0.00","0.31,0.26,1.07","0.47,0.26,1.07"
Unai García,"0.08,0.12,0.00","0.00,0.00,0.00","0.08,0.12,0.00"
Aridane Hernández,"0.00,0.10,0.00","0.00,0.00,0.00","0.00,0.10,0.00"
Enric Gallego,"0.00,0.31,0.00","0.00,0.00,0.00","0.00,0.31,0.00"
Sergiño Dest,"0.00,0.00,0.00","0.18,0.00,0.00","0.18,0.00,0.00"
Jonathan Calleri,"0.28,0.18,0.51","0.06,0.13,0.00","0.28,0.27,0.51"
Facundo Roncaglia,"0.00,0.06,0.58","0.00,0.00,0.58","0.00,0.06,1.16"
Pedri,,,
Lucas Torró,"0.10,0.00,0.00","0.00,0.00,0.61","0.10,0.00,0.61"
Francisco Trincão,"0.00,0.43,0.00","0.00,0.38,0.00","0.00,0.81,0.00"
Ronald Araújo,"0.00,0.00,0.00","0.05,0.00,0.00","0.05,0.00,0.00"
Ousmane Dembélé,"0.51,0.18,0.00","0.29,0.00,0.00","0.80,0.18,0.00"
Ansu Fati,"0.52,1.35","0.07,0.00","0.59,1.35"
Miralem Pjanić,"0.11,0.08,0.00","0.22,0.16,0.00","0.28,0.24,0.00"
Clément Lenglet,"0.05,0.11,0.00","0.00,0.03,0.00","0.05,0.13,0.00"
Antoine Griezmann,"0.47,0.39,0.00","0.24,0.10,0.00","0.64,0.49,0.00"
Philippe Coutinho,"0.30,0.46,0.42","0.13,0.38,0.84","0.38,0.80,1.26"
Víctor Chust,,,
Diego Altube,,,
Sergio Arribas,,,
Marvin Olawale Akinlabi Park,,,
Andriy Lunin,,,
Diego Pampín,,,
Iago Domínguez,,,
Jordi Alba,"0.06,0.06,0.00","0.30,0.22,0.35","0.36,0.29,0.35"
Sergio Busquets,"0.00,0.06,0.00","0.02,0.06,0.00","0.02,0.11,0.00"
Lucas Vázquez,"0.18,0.26,0.00","0.14,0.09,0.00","0.32,0.35,0.00"
Sergio Carreira,,,
Borja Mayoral,"0.23,0.33,0.00","0.09,0.08,0.00","0.32,0.41,0.00"
Álvaro Odriozola,"0.00,0.00,0.00","0.50,0.42,0.00","0.50,0.42,0.00"
Raúl Blanco,,,
Miguel Rodríguez,,,
José Fontán,"0.00,0.00","0.00,0.00","0.00,0.00"
Gabriel Veiga,,,
Miguel Baeza,,,
David Juncà,"['0.00', '0.00', None]","['0.15', '0.00', None]","['0.15', '0.00', None]"
Santi Mina,"0.43,0.28,0.00","0.20,0.14,0.00","0.63,0.42,0.00"
Brais Méndez,"0.23,0.00,0.00","0.26,0.12,0.00","0.45,0.12,0.00"
Néstor Araujo,"0.10,0.03,0.00","0.03,0.06,0.00","0.13,0.09,0.00"
Fran Beltrán,"0.06,0.05,0.00","0.00,0.00,0.00","0.06,0.05,0.00"
Ricard Sánchez,,,
Manuel Sánchez,"[None, '0.00', None]","[None, '0.00', None]","[None, '0.00', None]"
Victor Mollejo,,,
Ivo Grbić,,,
Sergio Camello,"['2.00', '0.00', None]","['0.00', '0.00', None]","['2.00', '0.00', None]"
Nehuén Pérez,,,
Aritz Elustondo,"0.04,0.00,0.00","0.04,0.05,0.00","0.08,0.05,0.00"
Thomas Lemar,"0.10,0.00,0.00","0.21,0.00,0.00","0.31,0.00,0.00"
Mario Hermoso,"0.09,0.00,0.00","0.00,0.00,0.00","0.09,0.00,0.00"
Marcos Llorente,"0.09,0.26,0.89","0.00,0.21,0.89","0.09,0.47,1.78"
Héctor Herrera,"0.21,0.06,0.00","0.03,0.12,0.00","0.23,0.18,0.00"
Vitolo,"0.08,0.18,0.00","0.25,0.12,0.00","0.33,0.30,0.00"
Diego Costa,"0.30,0.25,0.76","0.18,0.25,0.00","0.47,0.40,0.76"
Sergio Asenjo,,,
Jaume Doménech,,,
Jorge Pombo,"0.00,0.00,0.29","0.22,0.23,0.00","0.22,0.23,0.29"
Marcos Mauro López Gutiérrez,"0.08,0.13,0.00","0.00,0.00,0.00","0.08,0.13,0.00"
Salvi,"0.09,0.00,0.26","0.14,0.23,0.00","0.23,0.23,0.26"
Isaac Carcelen,"0.17,0.05,0.00","0.12,0.03,0.00","0.22,0.08,0.00"
Álex Fernández,"0.20,0.34,0.00","0.20,0.16,0.00","0.26,0.29,0.00"
Antonio Puertas,"0.37,0.21,0.00","0.07,0.12,0.00","0.44,0.33,0.00"
Yangel Herrera,"0.00,0.06,0.30","0.00,0.10,0.00","0.00,0.16,0.30"
Cala,"0.03,0.08,0.00","0.00,0.04,0.00","0.03,0.11,0.00"
Luis Milla,"0.05,0.23,0.27","0.13,0.17,0.00","0.18,0.26,0.27"
Nacho Vidal,"0.00,0.00,0.00","0.16,0.00,0.00","0.16,0.00,0.00"
Roberto Torres,"0.35,0.22,0.40","0.09,0.25,0.00","0.37,0.32,0.40"
Juan Cruz Armada,"0.00,0.03,0.00","0.03,0.24,0.00","0.03,0.27,0.00"
Rui Silva,,,
Marc Cucurella,"0.07,0.02,0.25","0.07,0.12,0.00","0.14,0.15,0.25"
Iñigo Pérez,"0.06,0.21,0.00","0.26,0.07,0.00","0.32,0.28,0.00"
Jon Moncayola,"[None, '0.05', '0.00']","[None, '0.00', '0.00']","[None, '0.05', '0.00']"
Adrián López,"0.42,0.12,0.43","0.00,0.00,0.43","0.42,0.06,0.86"
Sergio Herrera,,,
Javier Díaz,,,
Oier Sanjurjo,"0.08,0.08,0.00","0.00,0.04,0.26","0.08,0.12,0.26"
Rubén García,"0.19,0.32,0.25","0.30,0.12,0.00","0.47,0.40,0.25"
Alejandro Pozo Pozo,"['0.06', '0.00', None]","['0.17', '0.00', None]","['0.23', '0.00', None]"
Tomáš Vaclík,,,
Franco Vázquez,"0.14,0.31,0.00","0.14,0.06,0.00","0.28,0.37,0.00"
Bryan,"0.16,0.39,0.00","0.00,0.39,0.00","0.16,0.78,0.00"
Óscar Rodríguez Arnaiz,"0.14,0.40,0.00","0.11,0.09,0.00","0.25,0.40,0.00"
Carlos Fernández,"0.38,0.44,0.00","0.09,0.10,0.00","0.42,0.50,0.00"
Nacho,"0.00,0.26,0.00","0.04,0.00,0.00","0.04,0.26,0.00"
Neto,,,
Lionel Messi,"1.14,0.73,0.33","0.42,0.59,0.00","1.45,1.20,0.00"
Sergi Roberto,"0.03,0.03,0.33","0.20,0.06,0.00","0.22,0.09,0.33"
Gerard Piqué,"0.13,0.02,0.00","0.04,0.00,0.00","0.17,0.02,0.00"
Okay Yokuşlu,"0.08,0.00,0.00","0.00,0.09,0.00","0.08,0.09,0.00"
Iván Villar,,,
Denis Suárez,"0.00,0.05,0.00","0.00,0.26,0.30","0.00,0.31,0.30"
Emre Mor,"['0.00', None, '0.00']","['0.00', None, '0.00']","['0.00', None, '0.00']"
Renato Tapia,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Joseph Aidoo,"0.06,0.00,0.00","0.00,0.03,0.00","0.06,0.03,0.00"
Jeison Murillo,"0.00,0.06,0.00","0.00,0.00,0.00","0.00,0.06,0.00"
Nolito,"0.31,0.56,0.00","0.08,0.28,0.25","0.39,0.56,0.25"
Lucas Olaza,"0.00,0.03,0.00","0.20,0.09,0.00","0.20,0.11,0.00"
Hugo Mallo,"0.03,0.00,0.00","0.12,0.05,0.00","0.15,0.05,0.00"
Yannick Carrasco,"0.74,0.12,0.00","0.30,0.25,0.00","0.74,0.37,0.00"
João Félix,"0.71,0.33,0.38","0.31,0.11,0.38","0.98,0.36,0.77"
Saúl Ñíguez,"0.14,0.15,0.00","0.07,0.00,0.00","0.21,0.11,0.00"
Ángel Correa,"0.17,0.22,0.47","0.10,0.22,0.95","0.28,0.45,1.42"
Stefan Savić,"0.00,0.04,0.00","0.10,0.00,0.00","0.10,0.04,0.00"
Koke,"0.15,0.13,0.00","0.15,0.15,0.00","0.31,0.28,0.00"
Thomas Partey,"0.10,0.10,0.00","0.20,0.03,0.00","0.30,0.13,0.00"
Luis Suárez,"0.54,0.71,1.19","0.24,0.37,0.60","0.68,1.02,1.79"
Kieran Trippier,"0.03,0.00,0.00","0.14,0.16,0.00","0.17,0.16,0.00"
Jan Oblak,,,
Renan Lodi,"0.22,0.03,0.00","0.11,0.08,0.00","0.34,0.11,0.00"
David García,"0.07,0.00,0.00","0.04,0.00,0.00","0.11,0.00,0.00"
Alfonso Espino,"0.00,0.03,0.00","0.21,0.06,0.00","0.21,0.09,0.00"
Sergi Gómez,"0.00,0.00,0.00","0.02,0.00,0.00","0.02,0.00,0.00"
Dimitri Foulquier,"0.00,0.06,0.00","0.00,0.00,0.00","0.00,0.06,0.00"
Óliver Torres,"0.11,0.21,0.00","0.17,0.21,0.00","0.28,0.43,0.00"
Sergio Escudero,"0.00,0.06,0.00","0.04,0.06,0.00","0.04,0.11,0.00"
Youssef En-Nesyri,"0.26,0.48,0.51","0.13,0.00,0.00","0.39,0.48,0.51"
Nemanja Gudelj,"0.03,0.00,0.00","0.03,0.00,0.00","0.07,0.00,0.00"
Iago Aspas,"0.80,0.38,0.60","0.23,0.08,0.00","0.84,0.33,0.60"
Isco,"0.31,0.17,0.00","0.10,0.11,0.00","0.42,0.28,0.00"
Frenkie de Jong,"0.08,0.06,0.00","0.08,0.08,0.00","0.15,0.14,0.00"
Martin Ødegaard,"0.28,0.22,0.00","0.34,0.28,0.00","0.59,0.49,0.00"
Rodrygo,"0.25,0.44,0.00","0.50,0.19,0.99","0.75,0.63,0.99"
Marco Asensio,"0.23,0.74,0.00","0.19,0.25,0.00","0.42,0.98,0.00"
Marcelo,"0.10,0.10,0.00","0.13,0.24,0.00","0.24,0.34,0.00"
Felipe,"0.05,0.06,0.00","0.05,0.00,0.00","0.10,0.06,0.00"
Munir El Haddadi,"0.47,0.52,0.70","0.07,0.15,0.70","0.54,0.67,1.40"
Jules Koundé,"0.02,0.03,0.00","0.02,0.03,0.00","0.04,0.06,0.00"
Suso,"0.06,0.14,0.00","0.13,0.07,0.00","0.19,0.22,0.00"
Fernando,"0.08,0.08,0.00","0.16,0.08,0.00","0.24,0.16,0.00"
Marcos Acuña,"0.03,0.07,0.00","0.26,0.11,0.00","0.29,0.18,0.00"
Joan Jordán,"0.12,0.06,0.00","0.12,0.06,0.31","0.24,0.12,0.31"
Luuk de Jong,"0.75,0.31,0.76","0.15,0.10,0.00","0.90,0.41,0.76"
Lucas Ocampos,"0.14,0.42,0.26","0.22,0.13,0.00","0.36,0.42,0.00"
Diego Carlos,"0.05,0.05,0.00","0.00,0.00,0.00","0.05,0.05,0.00"
Vinicius Júnior,"0.21,0.25,0.95","0.41,0.15,0.00","0.62,0.39,0.95"
Ivan Rakitić,"0.11,0.04,0.32","0.21,0.21,0.00","0.32,0.26,0.32"
Jesús Navas,"0.03,0.00,0.00","0.18,0.20,0.46","0.21,0.20,0.46"
Luka Jović,"0.74,0.22,0.00","0.16,0.22,0.00","0.85,0.44,0.00"
Toni Kroos,"0.03,0.15,0.00","0.14,0.20,0.00","0.17,0.35,0.00"
Dani Carvajal,"0.03,0.02,0.00","0.15,0.17,0.00","0.18,0.19,0.00"
Ferland Mendy,"0.07,0.04,0.00","0.10,0.11,0.00","0.17,0.15,0.00"
Federico Valverde,"0.00,0.07,0.31","0.00,0.17,0.00","0.00,0.23,0.31"
Casemiro,"0.11,0.11,0.00","0.00,0.11,0.00","0.11,0.22,0.00"
Karim Benzema,"0.66,0.61,0.25","0.20,0.25,0.25","0.79,0.75,0.51"
Luka Modrić,"0.08,0.17,0.00","0.19,0.24,0.00","0.27,0.41,0.00"
Thibaut Courtois,,,
Raphaël Varane,"0.05,0.09,0.00","0.00,0.02,0.00","0.05,0.12,0.00"
Sergio Ramos,"0.26,0.31,0.25","0.03,0.00,0.00","0.08,0.14,0.00"
